Zip;Mean;Pop
1225;75.267;3.264
1226;70.710;7.099
1229;70.740;129
1230;73.996;8.654
12302;77.683;26.706
12303;71.259;27.443
12304;53.980;20.582
12305;35.929;6.140
12306;66.852;25.105
12307;35.032;6.713
12308;55.527;13.655
12309;103.583;28.275
1235;73.062;2.597
1236;74.247;1.656
1237;87.759;2.426
1238;64.187;6.110
1240;74.117;4.787
12401;63.156;35.239
12404;68.945;3.509
12405;51.233;591
12406;54.279;842
12407;53.489;144
12409;90.820;783
12410;59.713;460
12411;68.979;571
12412;81.720;605
12413;56.898;2.901
12414;54.082;9.205
12416;58.541;210
12417;73.425;729
12418;56.116;522
12419;77.165;694
1242;74.264;254
12420;61.593;382
12421;57.442;525
12422;56.116;343
12423;56.116;970
12424;58.063;264
12427;43.167;382
12428;49.840;6.704
12429;84.728;327
1243;71.505;360
12430;54.301;1.052
12431;58.550;1.374
12432;76.378;379
12433;78.656;509
12434;57.690;695
12435;58.208;315
12436;43.167;624
12438;53.354;104
12439;54.024;302
1244;73.592;136
12440;81.922;2.086
12441;57.576;123
12442;46.960;974
12443;91.055;3.880
12444;58.063;529
12446;61.423;4.835
12448;90.820;452
12449;67.579;3.370
1245;90.383;989
12450;43.167;200
12451;59.779;1.437
12452;58.063;216
12453;72.364;390
12454;53.489;294
12455;53.657;2.174
12456;73.654;586
12457;71.756;877
12458;59.074;3.248
12459;53.587;205
12460;56.116;348
12461;82.596;1.675
12463;60.104;1.564
12464;58.541;1.162
12465;60.727;318
12466;73.425;2.394
12468;54.666;1.029
12469;66.308;720
1247;48.295;16.957
12470;50.468;510
12471;84.728;234
12472;69.160;1.552
12473;50.468;758
12474;57.690;1.174
12475;73.343;351
12477;71.384;19.409
12480;58.736;601
12481;82.596;1.503
12482;64.095;743
12483;61.037;332
12484;97.782;2.773
12485;43.167;780
12486;70.223;1.663
12487;83.707;3.246
12489;61.608;586
12490;72.364;95
12491;83.057;1.715
12492;58.063;281
12493;84.728;498
12494;82.596;817
12495;90.820;272
12496;53.489;1.618
12498;86.527;5.020
12501;70.449;2.234
12502;88.555;1.055
12503;85.130;734
12504;78.492;961
12507;78.492;226
12508;64.963;19.504
12512;92.060;166
12513;78.372;732
12514;101.915;2.791
12515;69.517;1.381
12516;104.991;1.690
12517;105.085;421
12518;94.155;5.882
12520;100.218;3.193
12521;93.115;1.516
12522;74.118;5.244
12523;71.717;1.665
12524;78.091;11.904
12525;94.264;3.018
12526;76.084;3.597
12527;72.945;163
12528;77.797;12.373
12529;92.372;2.649
1253;97.075;607
12530;78.372;162
12531;107.909;3.411
12533;112.999;22.335
12534;61.726;18.812
12538;81.616;14.063
1254;103.371;1.070
12540;106.912;7.009
12542;78.159;5.468
12543;69.663;3.131
12545;95.788;4.724
12546;70.155;3.005
12547;77.675;2.776
12548;67.273;1.492
12549;83.234;8.981
1255;97.075;824
12550;68.517;52.212
12553;82.683;22.087
1256;59.862;701
12561;82.856;16.872
12563;96.541;7.639
12564;101.434;6.365
12565;78.372;1.585
12566;85.040;10.103
12567;74.749;2.844
12569;100.172;9.396
1257;68.665;2.223
12570;101.334;6.362
12571;88.011;11.549
12572;95.402;9.390
12574;85.640;196
12575;96.766;2.171
12577;94.584;2.342
12578;99.917;2.241
1258;80.635;401
12580;96.701;4.058
12581;86.298;2.361
12582;115.812;4.049
12583;81.869;2.304
12585;99.885;774
12586;74.133;11.348
12589;82.497;13.881
1259;73.592;640
12590;87.930;33.400
12592;70.624;1.286
12594;77.505;4.047
1260;67.749;225
12601;60.335;42.242
12603;90.410;40.048
12604;80.617;542
1262;70.740;1.357
1264;89.918;160
1266;79.025;1.681
1267;104.709;8.683
1270;76.919;761
12701;47.488;11.376
12719;68.521;1.076
12720;66.198;214
12721;75.558;5.779
12722;69.905;179
12723;66.459;1.893
12724;55.567;264
12725;37.847;170
12726;67.130;1.183
12729;61.871;1.949
12732;69.092;817
12733;56.544;1.023
12734;52.759;840
12736;68.640;150
12737;62.473;1.471
12738;68.203;345
12740;9.622;302
12741;68.640;304
12742;53.078;209
12743;69.117;370
12745;65.436;156
12746;64.656;930
12747;53.716;1.727
12748;60.492;2.154
12749;48.555;394
12750;66.184;199
12751;51.938;458
12752;67.388;177
12754;54.671;6.715
12758;62.267;4.142
12759;48.027;1.751
12760;58.886;543
12762;55.283;435
12763;60.015;872
12764;66.722;1.664
12766;55.814;477
12767;68.640;101
12768;45.180;911
12769;73.118;275
12770;62.473;274
12771;65.523;13.856
12775;76.836;1.538
12776;60.894;2.166
12777;76.562;772
12778;66.187;694
12779;55.968;1.889
12780;57.257;2.255
12781;73.118;309
12783;56.786;1.901
12784;76.836;58
12785;65.062;1.056
12786;60.675;579
12787;59.861;345
12788;47.808;3.053
12789;53.923;1.652
12790;72.002;4.289
12791;55.790;652
12792;69.301;254
12801;53.054;14.370
12803;61.915;7.036
12804;75.104;23.957
12808;67.263;335
12809;65.715;3.373
12810;61.832;644
12811;47.583;117
12812;54.637;160
12814;66.466;1.519
12815;67.411;905
12816;60.866;4.634
12817;55.057;2.146
12819;52.870;398
12821;60.346;2.022
12822;56.412;5.788
12823;69.184;201
12824;67.571;755
12827;62.031;3.826
12828;54.971;8.455
12831;79.046;14.408
12832;54.950;7.035
12833;88.091;4.053
12834;69.744;6.548
12835;57.761;2.647
12836;66.788;697
12837;51.116;812
12838;67.958;563
12839;52.379;12.046
12841;52.870;129
12842;54.637;1.260
12843;47.583;608
12844;61.011;236
12845;73.043;4.974
12846;64.826;3.167
12847;66.013;730
12849;52.388;322
12850;65.114;2.249
12851;52.968;348
12852;52.968;481
12853;50.375;1.655
12855;52.864;282
12856;47.583;221
12857;52.856;496
12858;51.013;47
12859;67.833;2.009
12860;57.547;1.154
12861;52.870;644
